############################################################
# SHIM CENSUS: 245 inline shims in stdafx_linux.h
#   adapt=2, noop-const=114, noop-risky=69, real=60
# NOTE: classification is heuristic triage, not an audited verdict.
# 'noop-risky' entries need human review (do they break callers?).
############################################################
shim_name	classification	caller_count	callers	signature
DeleteDC	noop-const	4	source/lib/pixel.cpp,source/script_autoit.cpp,source/script_gui.cpp,source/util.cpp	{
CreateDIBSection	noop-risky	1	source/util.cpp	{
GdiFlush	noop-const	1	source/util.cpp	{
GetDIBits	noop-const	2	source/lib/pixel.cpp,source/util.cpp	{
SHGetKnownFolderPath	noop-const	1	source/util.cpp	{
SetWindowText	noop-risky	5	source/error.cpp,source/lib/InputBox.cpp,source/lib/win.cpp,source/script2.cpp,source/script_gui.cpp	{
SetWindowLongPtr	noop-risky	3	source/error.cpp,source/lib/InputBox.cpp,source/script_gui.cpp	{
GetDlgItem	noop-const	2	source/error.cpp,source/lib/InputBox.cpp	{
MapDialogRect	noop-const	1	source/error.cpp	{
EnableWindow	noop-const	3	source/error.cpp,source/lib/win.cpp,source/script_gui.cpp	{
GetClientRect	noop-const	4	source/error.cpp,source/lib/InputBox.cpp,source/lib/win.cpp,source/script_gui.cpp	{
MapWindowPoints	noop-const	3	source/error.cpp,source/lib/win.cpp,source/script_gui.cpp	{
MoveWindow	noop-const	6	source/error.cpp,source/lib/InputBox.cpp,source/lib/win.cpp,source/script2.cpp,source/script_gui.cpp,source/util.cpp	{
DefDlgProc	noop-const	2	source/error.cpp,source/script_gui.cpp	{
SetFocus	noop-risky	4	source/error.cpp,source/lib/win.cpp,source/script2.cpp,source/script_gui.cpp	{
ShowWindow	noop-risky	8	source/WinGroup.cpp,source/application.cpp,source/error.cpp,source/lib/win.cpp,source/script.cpp,source/script2.cpp,source/script_gui.cpp,source/window.cpp	{
EndDialog	noop-const	4	source/application.cpp,source/error.cpp,source/lib/InputBox.cpp,source/window.cpp	{
GetWindowLongPtr	noop-risky	3	source/error.cpp,source/lib/InputBox.cpp,source/script_gui.cpp	{
PostMessage	noop-risky	14	source/AutoHotkey.cpp,source/error.cpp,source/hook.cpp,source/hook.h,source/hotkey.cpp,source/keyboard_mouse.cpp,source/lib/input.cpp,source/lib/win.cpp,source/script2.cpp,source/script_autoit.cpp,source/script_gui.cpp,source/script_menu.cpp	{
